LfNr	Datum	Zeit	WoTag	Kl	NrBu	Gemeinde	Strasse	Gt	Sv	Lv	Bet	Art	Char1	Char2	Beso1	Beso2	Beso3	LZ	Kat	Typ	UTyp	1Urs01	1Urs02	2Urs01	2Urs02	AUrs01	AV1	AV2	Jahr	Mt	Tag	Licht	Str_Zus	Bet_01	Bet_02	Unf_Typ	Fahrtrichtung	Koord.x	Koord.y
1	01.01.2019	09:20	Di	5		Bremen	Friesenstraße	0	0	1	1	0							3	1		1				73	71		2019	01	01	he	na	RF	-	F		8,830694	53,072814
2	01.01.2019	11:45	Di	5		Bremen	Vor dem Steintor	0	0	1	1	0							3	7		49					71		2019	01	01	he	na	RF	-	SO		8,832243	53,070998
3	02.01.2019	08:30	Mi	5		Bremen	Bahnhofsplatz	0	0	0	2	0							5	7		49					21	71	2019	01	02	he	tr	PKW	RF	SO		8,813569	53,082327
4	02.01.2019	10:00	Mi	5		Bremen	Morgenlandstraße	0	0	1	2	5			7				3	3		28					21	71	2019	01	02	he	tr	PKW	RF	EK		8,762310	53,115733
5	02.01.2019	10:05	Mi	5		Bremen	Contrescarpe	0	1	0	2	3							2	6		14					21	71	2019	01	02	he	na	PKW	RF	LV		8,814755	53,076311
6	02.01.2019	14:00	Mi	5		Bremen	Flughafendamm	0	0	0	2	0							5	7		49		49			71	21	2019	01	02	he	tr	RF	PKW	SO		8,788091	53,052819
7	03.01.2019	08:10	Do	5		Bremen	Am Stern	0	0	1	2	5							3	2		34					21	71	2019	01	03	he	tr	PKW	RF	AB		8,824416	53,084444
8	03.01.2019	13:38	Do	5		Bremen	Sebaldsbrücker Heerstraße	0	0	1	2	5	2						3	2		34					21	71	2019	01	03	he	tr	PKW	RF	AB		8,896930	53,059064
9	03.01.2019	14:40	Do	5		Bremen	Am Weidedamm	0	0	0	2	4							5	6		11		10			21	71	2019	01	03	he	tr	PKW	RF	LV		8,816874	53,092453
10	03.01.2019	17:00	Do	5		Bremen	Ostertorsteinweg	0	0	1	2	5							3	3		28					71	71	2019	01	03	du	tr	RF	RF	EK		8,819768	53,072637
11	03.01.2019	17:35	Do	5		Bremen	Am Herzogenkamp	0	0	1	1	0							3	1		13	49				72		2019	01	03	du	tr	RF	-	F		8,870671	53,098477
12	03.01.2019	20:10	Do	5		Bremen	Osterdeich	0	0	0	2	1							6	5		1	49				71	21	2019	01	03	du	tr	RF	PKW	RV		8,827297	53,068824
