LfNr	Datum	Zeit	WoTag	Kl	NrBu	Gemeinde	Strasse	Gt	Sv	Lv	Bet	Art	Char1	Char2	Beso1	Beso2	Beso3	LZ	Kat	Typ	UTyp	1Urs01	1Urs02	2Urs01	2Urs02	AUrs01	AV1	AV2	Jahr	Mt	Tag	Licht	Str_Zus	Bet_01	Bet_02	Unf_Typ	Fahrtrichtung	Koord.x	Koord.y
1	01.01.2021	02:20	Fr	5		Bremen	Hemelinger Bahnhofstraße	0	0	1	1	0							3	7		1	49				71		2021	01	01	du	na	RF	-	SO		8,885664	53,058980
2	04.01.2021	12:20	Mo	5		Bremen	Hastedter Heerstraße	0	0	1	1	0							3	1		12	49			73	72		2021	01	04	he	na	RF	-	F		8,882320	53,063715
3	04.01.2021	17:15	Mo	5		Bremen	Arsterdamm	0	0	1	2	5	2						3	3		37					21	71	2021	01	04	du	na	PKW	RF	EK		8,823577	53,044141
4	06.01.2021	08:30	Mi	5		Bremen	Möckernstraße	0	0	0	2	1							5	5		49					71	21	2021	01	06	dä	na	RF	PKW	RV		8,804801	53,065281
5	06.01.2021	10:00	Mi	5		Bremen	Schillerstraße	0	0	1	2	5							3	3		37					72	71	2021	01	06	he	tr	RF	RF	EK		8,813044	53,079614
6	07.01.2021	22:30	Do	5		Bremen	Uelzener Straße	0	0	1	2	0							3	7		69		10			83	71	2021	01	07	du	tr	FG	RF	SO		8,882467	53,067510
7	08.01.2021	12:00	Fr	5		Bremen	Horner Heerstraße	0	0	0	2	5	3						5	3		37		10			21	71	2021	01	08	he	na	PKW	RF	EK		8,870644	53,092973
8	09.01.2021	23:00	Sa	5		Bremen	Stauffenbergstraße	0	0	1	2	5	1					8	3	3		31		49			21	71	2021	01	09	du	tr	PKW	RF	EK		8,900764	53,078730
9	12.01.2021	08:00	Di	5		Bremen	Kurfürstenallee	0	0	1	2	5	1						3	3		31				73	71	21	2021	01	12	he	na	RF	PKW	EK		8,854293	53,082477
10	12.01.2021	12:55	Di	5		Bremen	Hastedter Osterdeich	0	0	1	2	5	3						3	2		34				73	21	72	2021	01	12	he	na	PKW	RF	AB		8,868176	53,061933
11	12.01.2021	14:45	Di	5		Bremen	Wismarer Straße	0	0	1	1	0							3	7		1	14				71		2021	01	12	he	tr	RF	-	SO		8,757793	53,122971
12	12.01.2021	14:55	Di	5		Bremen	Blocklander Hemmstraße	0	0	1	2	1							3	5		45					21	71	2021	01	12	he	tr	PKW	RF	RV		8,817172	53,117427
13	12.01.2021	20:10	Di	5		Bremen	Hermann-Böse-Straße	0	0	1	2	5							3	3		34				73	21	71	2021	01	12	du	na	PKW	RF	EK		8,824432	53,084259
14	12.01.2021	23:50	Di	5		Bremen	Wilhelm-Kaisen-Brücke	0	0	1	1	0							3	7		13	49			72	71		2021	01	12	du	wgl	RF	-	SO		8,802602	53,071687
15	13.01.2021	06:05	Mi	5		Bremen	Lesumer Heerstraße	0	0	1	1	0	2						3	7		49				74	71		2021	01	13	du	sch	RF	-	SO		8,686054	53,171054
16	13.01.2021	07:35	Mi	5		Bremen	Hartwigstraße	0	1	0	2	5	2						2	3		28					21	71	2021	01	13	du	na	PKW	RF	EK		8,831537	53,085940
17	13.01.2021	08:40	Mi	5		Bremen	Delmestraße	0	0	1	3	1							3	5		45				73	40	71	2021	01	13	he	na	LKW	RF	RV		8,788000	53,065998
18	13.01.2021	12:30	Mi	5		Bremen	Turnerstraße	0	0	0	2	0							5	7		49					71	21	2021	01	13	he	tr	RF	PKW	SO		8,559953	53,201428
19	14.01.2021	08:00	Do	5		Bremen	Engelkestraße	0	0	1	2	1							3	7		45					21	71	2021	01	14	he	wgl	PKW	RF	SO		8,937782	53,075402
20	16.01.2021	00:00	Sa	5		Bremen	Gröpelinger Heerstraße	0	1	0	1	0							2	7		49				73	71		2021	01	16	du	na	RF	-	SO		8,758595	53,116437
21	18.01.2021	07:20	Mo	5		Bremen	Imre-Nagy-Weg	0	0	0	2	5	1						5	3		28					21	71	2021	01	18	du	tr	PKW	RF	EK		8,814956	53,076543
22	18.01.2021	11:15	Mo	5		Bremen	Geestemünder Straße	0	0	1	2	0							3	7		45					21	71	2021	01	18	he	tr	PKW	RF	SO		8,786018	53,100402
23	18.01.2021	11:45	Mo	5		Bremen	Vahrer Straße	0	0	0	2	5	2					8	5	2		34					21	71	2021	01	18	he	tr	PKW	RF	AB		8,884978	53,072061
24	18.01.2021	13:17	Mo	5		Bremen	Hemelinger Hafendamm	0	0	1	2	5	1						3	3		28		10			21	71	2021	01	18	he	na	PKW	RF	EK		8,883706	53,048435
25	18.01.2021	14:02	Mo	5		Bremen	Falkenstraße	0	0	1	2	5	2						3	3		28				73	21	71	2021	01	18	he	na	PKW	RF	EK		8,807253	53,082364
26	19.01.2021	07:50	Di	5		Bremen	In der Vahr	0	0	1	2	5							3	3		37					21	71	2021	01	19	dä	tr	PKW	RF	EK		8,876003	53,081607
27	19.01.2021	12:47	Di	5		Bremen	Bennigsenstraße	0	0	1	2	4	1					8	3	2		34					21	72	2021	01	19	he	na	PKW	RF	AB		8,856949	53,072685
28	19.01.2021	19:05	Di	5		Bremen	Alfred-Faust-Straße	0	0	1	2	5	2						3	3		35				73	21	71	2021	01	19	du	na	PKW	RF	EK		8,826205	53,034329
29	20.01.2021	08:00	Mi	5		Bremen	Ingolstädter Straße	0	0	1	2	5	2		9				3	3		28				73	21	71	2021	01	20	he	na	PKW	RF	EK		8,795896	53,106269
30	20.01.2021	13:30	Mi	5		Bremen	Kurfürstenallee	0	0	0	2	1							5	7		14	49				71	21	2021	01	20	he	tr	RF	PKW	SO		8,849122	53,081400
31	20.01.2021	15:00	Mi	5		Bremen	Hemelinger Heerstraße	0	0	2	2	4	2						3	6		14		14			71	72	2021	01	20	he	tr	RF	RF	LV		8,898206	53,043786
32	21.01.2021	07:30	Do	5		Bremen	Osterstraße	0	1	0	2	5	2						2	3		49		49			71	71	2021	01	21	dä	na	RF	RF	EK		8,801647	53,071289
33	21.01.2021	23:50	Do	5		Bremen	Kornstraße	0	0	0	2	1	1						5	1		49				73	71	21	2021	01	21	du	na	RF	PKW	F		8,804461	53,062141
34	22.01.2021	08:30	Fr	5		Bremen	Eduard-Schopf-Allee	0	1	0	2	5							2	3		31					71	21	2021	01	22	he	na	RF	PKW	EK		8,791951	53,082723
35	22.01.2021	12:25	Fr	5		Bremen	Upper Borg	0	0	0	2	5	1						5	3		27					71	21	2021	01	22	he	tr	RF	PKW	EK		8,914466	53,119857
36	22.01.2021	13:35	Fr	5		Bremen	Heinrich-Plett-Allee	0	0	1	2	5	2						3	2		35		35			21	71	2021	01	22	he	tr	PKW	RF	AB		8,715516	53,053630
37	22.01.2021	20:20	Fr	5		Bremen	Pfarrfeldsweg	0	0	1	2	8							3	6		22					33	71	2021	01	22	du	tr	BUS	RF	LV		8,856917	53,045802
38	23.01.2021	12:30	Sa	5		Bremen	Achterdiek	0	1	0	2	5	1						2	3		28					21	71	2021	01	23	he	tr	PKW	RF	EK		8,900910	53,089501
39	23.01.2021	14:20	Sa	5		Bremen	Mathildenstraße	0	0	1	2	5							3	3		28					21	71	2021	01	23	he	tr	PKW	RF	EK		8,825926	53,078727
40	23.01.2021	17:00	Sa	5		Bremen	Schwarzer Weg	0	0	0	3	1							5	5		49					92	71	2021	01	23	dä	na	SOF	RF	RV		8,756143	53,125203
41	25.01.2021	12:35	Mo	5		Bremen	Utbremer Straße	0	0	1	2	4	2					8	3	2		34		10		73	21	71	2021	01	25	he	na	PKW	RF	AB		8,795231	53,090873
42	26.01.2021	17:40	Di	5		Bremen	Rilkeweg	0	0	1	2	4							3	6		24		49			21	72	2021	01	26	du	na	PKW	RF	LV		8,920238	53,094149
43	26.01.2021	18:00	Di	5		Bremen	Pfalzburger Straße	0	0	1	2	1							3	5		45					21	71	2021	01	26	du	na	PKW	RF	RV		8,876915	53,061825
44	27.01.2021	14:20	Mi	5		Bremen	Am Dobben	0	0	1	2	0							3	1		66					81	71	2021	01	27	he	tr	FG	RF	F		8,823764	53,077656
45	27.01.2021	14:45	Mi	5		Bremen	Im Holze	0	0	2	2	3							3	6		49				73	1	71	2021	01	27	he	na	KRD	RF	LV		8,916585	53,097626
46	28.01.2021	05:15	Do	5		Bremen	Osterholzer Heerstraße	0	0	1	2	5							3	3		34				73	21	71	2021	01	28	du	na	PKW	RF	EK		8,951325	53,057878
47	28.01.2021	13:35	Do	5		Bremen	Hermann-Koenen-Straße	0	0	1	2	5							3	2		34				73	58	71	2021	01	28	he	na	LKW	RF	AB		8,914028	53,062705
48	28.01.2021	15:35	Do	5		Bremen	Zur Westpier	0	0	1	2	5	1						3	3		37					21	71	2021	01	28	he	tr	PKW	RF	EK		8,598464	53,175414
49	28.01.2021	17:10	Do	5		Bremen	Konsul-Smidt-Straße	0	0	0	2	5							5	3		37					71	21	2021	01	28	du	tr	RF	PKW	EK		8,769578	53,093434
50	02.02.2021	14:04	Di	5		Bremen	Osterdeich	0	0	1	3	4							3	6		17					71	71	2021	02	02	he	wgl	RF	RF	LV		8,835105	53,068337
