LfNr	Datum	Zeit	WoTag	Kl	NrBu	Gemeinde	Strasse	Gt	Sv	Lv	Bet	Art	Char1	Char2	Beso1	Beso2	Beso3	LZ	Kat	Typ	UTyp	1Urs01	1Urs02	2Urs01	2Urs02	AUrs01	AV1	AV2	Jahr	Mt	Tag	Licht	Str_Zus	Bet_01	Bet_02	Unf_Typ	Fahrtrichtung	Koord.x	Koord.y
51	02.02.2021	14:30	Di	5		Bremen	Borgfelder Heerstraße	0	0	0	2	3							5	6		26				73	71	21	2021	02	02	he	na	RF	PKW	LV		8,899942	53,123840
52	04.02.2021	06:30	Do	5		Bremen	Hohentorsheerstraße	0	0	1	2	5	2		8	0		8	3	3		35				73	21	71	2021	02	04	du	na	PKW	RF	EK		8,788990	53,073181
53	04.02.2021	12:00	Do	5		Bremen	Langenstraße	0	0	0	2	1							5	7		13	49			73	21	71	2021	02	04	he	na	PKW	RF	SO		8,806413	53,075797
54	05.02.2021	11:30	Fr	5		Bremen	Prangenstraße	0	0	1	2	4							3	6		24				73	21	71	2021	02	05	he	na	PKW	RF	LV		8,824317	53,070338
55	11.02.2021	16:00	Do	5		Bremen	Timmersloher Straße	0	0	0	2	1							5	7		49				72	71	21	2021	02	11	he	wgl	RF	PKW	SO		8,808859	53,091751
56	16.02.2021	07:00	Di	5		Bremen	Hemelinger Tunnel	0	0	1	1	0							3	7		49				72	71		2021	02	16	dä	wgl	RF	-	SO		8,889446	53,058152
57	16.02.2021	11:55	Di	5		Bremen	Ostertorswallstraße	0	1	0	2	5	2						2	3		10				73	71	21	2021	02	16	he	na	RF	PKW	EK		8,812097	53,075276
58	16.02.2021	17:55	Di	5		Bremen	Simon-Bolivar-Straße	0	0	2	2	3							3	6		18				72	71	71	2021	02	16	du	wgl	RF	RF	LV		8,779111	53,076080
59	17.02.2021	05:35	Mi	5		Bremen	Brüggeweg	0	0	1	2	5	2		9				3	3		28				73	21	71	2021	02	17	du	na	PKW	RF	EK		8,896093	53,056869
60	17.02.2021	12:20	Mi	5		Bremen	Steubenstraße	0	0	1	2	5	3						3	3		37		10			21	71	2021	02	17	he	tr	PKW	RF	EK		8,864974	53,071563
61	17.02.2021	17:11	Mi	5		Bremen	Sankt-Jürgen-Straße	0	0	1	2	5	1						3	3		28					21	71	2021	02	17	he	sch	PKW	RF	EK		8,836655	53,075297
62	17.02.2021	20:20	Mi	5		Bremen	Kurt-Schumacher-Allee	0	0	1	2	5							3	3		28					21	71	2021	02	17	du	tr	PKW	RF	EK		8,896313	53,079241
63	18.02.2021	12:15	Do	5		Bremen	Langemarckstraße	0	0	0	2	5	2		4			8	5	2		34					21	72	2021	02	18	he	tr	PKW	RF	AB		8,785334	53,068484
64	18.02.2021	12:53	Do	5		Bremen	Hauptmann-Böse-Weg	0	0	0	2	0							5	7		49					72	21	2021	02	18	he	tr	RF	PKW	SO		8,845753	53,088397
65	18.02.2021	22:40	Do	5		Bremen	Große Johannisstraße	0	0	1	2	5							3	3		28					21	71	2021	02	18	du	na	PKW	RF	EK		8,798482	53,071030
66	19.02.2021	10:15	Fr	5		Bremen	Gröpelinger Heerstraße	0	0	1	2	5	1		4			8	3	2		34					21	71	2021	02	19	he	tr	PKW	RF	AB		8,751940	53,122117
67	19.02.2021	13:50	Fr	5		Bremen	Waller Heerstraße	0	0	0	2	4							5	6		49					4	71	2021	02	19	he	tr	KRD	RF	LV		8,786120	53,101298
68	20.02.2021	11:30	Sa	5		Bremen	Borgfelder Deich	0	0	1	2	5							3	3		37					71	71	2021	02	20	he	tr	RF	RF	EK		8,891142	53,132099
69	20.02.2021	14:45	Sa	5		Bremen	Am Weserstadion	0	0	1	2	7							3	7		69				87	81	71	2021	02	20	he	tr	FG	RF	SO		8,849266	53,065333
70	21.02.2021	13:50	So	5		Bremen	Am Lehester Deich	0	0	1	2	4							3	6		17					21	71	2021	02	21	he	tr	PKW	RF	LV		8,901527	53,114750
71	22.02.2021	15:33	Mo	5		Bremen	Auf den Delben	0	0	2	2	5	2						3	3		28					71	12	2021	02	22	he	tr	RF	KRD	EK		8,713915	53,141408
72	23.02.2021	06:45	Di	5		Bremen	Neuenlander Straße	0	0	1	2	5							3	2		34					40	71	2021	02	23	he	tr	LKW	RF	AB		8,781463	53,067650
73	23.02.2021	07:08	Di	5		Bremen	Amsterdamer Straße	0	0	0	3	5							4	3		10	37				71	21	2021	02	23	dä	tr	RF	PKW	EK		8,734323	53,041808
74	23.02.2021	09:05	Di	5		Bremen	Hohentorsheerstraße	0	1	0	2	5	2						2	3		28					21	71	2021	02	23	he	tr	PKW	RF	EK		8,780549	53,068103
75	23.02.2021	16:29	Di	5		Bremen	Innsbrucker Straße	0	0	0	2	1							5	7		14	49				71	21	2021	02	23	he	tr	RF	PKW	SO		8,810348	53,101393
76	24.02.2021	07:55	Mi	5		Bremen	Philipp-Scheidemann-Straße	0	1	0	2	5	2						2	3		28					21	71	2021	02	24	he	tr	PKW	RF	EK		8,879034	53,085737
77	24.02.2021	08:50	Mi	5		Bremen	Senator-Weßling-Straße	0	0	1	2	0							3	7		49		49			21	71	2021	02	24	he	tr	PKW	RF	SO		8,817220	53,036768
78	24.02.2021	15:15	Mi	5		Bremen	Weser-Ems-Straße	0	0	1	2	5	3						3	2		37					21	71	2021	02	24	he	tr	PKW	RF	AB		8,877524	53,039587
79	24.02.2021	15:22	Mi	5		Bremen	Am Kaffee-Quartier	0	0	1	2	3							3	6		22					21	71	2021	02	24	he	tr	PKW	RF	LV		8,782067	53,086010
80	24.02.2021	20:20	Mi	5		Bremen	Waltjenstraße	0	0	1	1	0							3	7		1	49				71		2021	02	24	du	tr	RF	-	SO		8,754590	53,115946
81	25.02.2021	08:00	Do	5		Bremen	Crüsemannallee	0	0	1	2	5	2		8				3	3		28					21	71	2021	02	25	he	tr	PKW	RF	EK		8,839681	53,098656
82	25.02.2021	15:25	Do	5		Bremen	Julius-Brecht-Allee	0	0	1	2	5	2						3	2		34					21	71	2021	02	25	he	tr	PKW	RF	AB		8,872221	53,077382
83	25.02.2021	19:25	Do	5		Bremen	Straßburger Straße	0	0	0	2	5	2		0	9			5	3		37					21	71	2021	02	25	du	tr	PKW	RF	EK		8,838557	53,079805
84	26.02.2021	07:45	Fr	5		Bremen	Hohenlohestraße	0	1	0	2	1			8				2	5		45					21	71	2021	02	26	he	tr	PKW	RF	RV		8,817864	53,083058
85	26.02.2021	09:00	Fr	5		Bremen	Sankt-Pauli-Deich	0	0	1	2	5							3	1		49					71	71	2021	02	26	he	tr	RF	RF	F		8,803219	53,069625
86	26.02.2021	12:30	Fr	5		Bremen	Borgfelder Heerstraße	0	0	1	1	0							3	7		49					71		2021	02	26	he	tr	RF	-	SO		8,900052	53,122555
87	26.02.2021	14:45	Fr	5		Bremen	Alfred-Faust-Straße	0	0	1	2	4			3				3	6		11					71	72	2021	02	26	he	tr	RF	RF	LV		8,827085	53,034323
88	26.02.2021	19:20	Fr	5		Bremen	Marcusallee	0	0	1	2	3	6		8				3	6		18					92	71	2021	02	26	dä	tr	SOF	RF	LV		8,889224	53,090230
89	28.02.2021	16:45	So	5		Bremen	Schlachte	0	0	1	1	0							3	7		1	49				71		2021	02	28	he	tr	RF	-	SO		8,801341	53,077074
90	01.03.2021	10:50	Mo	5		Bremen	Katharinenstraße	0	0	0	2	1							5	7		36					40	71	2021	03	01	he	tr	LKW	RF	SO		8,808889	53,077579
91	01.03.2021	13:50	Mo	5		Bremen	Carl-Katz-Straße	0	0	1	2	5	1						3	3		27					71	21	2021	03	01	he	tr	RF	PKW	EK		8,836634	53,029119
92	02.03.2021	16:00	Di	5		Bremen	Straßburger Straße	0	0	1	2	3	1						3	6		22					21	71	2021	03	02	he	tr	PKW	RF	LV		8,838645	53,080124
93	03.03.2021	10:13	Mi	5		Bremen	In der Vahr	0	0	1	2	5							3	3		37					21	71	2021	03	03	he	na	PKW	RF	EK		8,880147	53,077161
94	03.03.2021	12:25	Mi	5		Bremen	Niedersachsendamm	0	0	1	2	5							3	2		37					40	71	2021	03	03	he	tr	LKW	RF	AB		8,820717	53,050613
95	03.03.2021	18:30	Mi	5		Bremen	Gröpelinger Heerstraße	0	0	0	2	1							5	7		14	49				40	71	2021	03	03	dä	tr	LKW	RF	SO		8,757337	53,117275
96	04.03.2021	09:20	Do	5		Bremen	Otto-Suhr-Straße	0	0	0	2	5							5	3		37					71	21	2021	03	04	he	tr	RF	PKW	EK		8,892813	53,082209
97	05.03.2021	11:30	Fr	5		Bremen	Weserdeich	0	0	0	2	0							5	7						86	81	71	2021	03	05	he	tr	FG	RF	SO		8,805654	53,068013
98	05.03.2021	13:55	Fr	5		Bremen	Fischbacher Straße	0	0	0	2	4							5	6		49		49			71	21	2021	03	05	he	tr	RF	PKW	LV		8,912586	53,058189
99	05.03.2021	14:15	Fr	5		Bremen	Münsterstraße	0	0	0	2	5							5	3		28					21	71	2021	03	05	he	tr	PKW	RF	EK		8,811689	53,030823
100	05.03.2021	16:25	Fr	5		Bremen	Osterstraße	0	0	1	2	5							3	3		28					21	71	2021	03	05	he	tr	PKW	RF	EK		8,800908	53,068554
101	05.03.2021	22:25	Fr	5		Bremen	Kötnerweide	0	0	0	2	4							5	6		49		49			21	71	2021	03	05	du	tr	PKW	RF	LV		8,730477	53,042041
102	08.03.2021	10:00	Mo	5		Bremen	Wachmannstraße	0	0	1	2	3	1						3	2		34				72	21	71	2021	03	08	he	wgl	PKW	RF	AB		8,830357	53,085628
103	08.03.2021	11:55	Mo	5		Bremen	Hohentorsheerstraße	0	0	1	2	5	1						3	3		28					21	71	2021	03	08	he	tr	PKW	RF	EK		8,785621	53,070956
104	08.03.2021	15:46	Mo	5		Bremen	Wischmannstraße	0	0	0	2	4							5	6		49					21	72	2021	03	08	he	tr	PKW	RF	LV		8,823708	53,030466
105	08.03.2021	18:18	Mo	5		Bremen	Vorberger Straße	0	0	1	2	2							3	7		36					21	71	2021	03	08	dä	tr	PKW	RF	SO		8,569115	53,201020
106	08.03.2021	19:18	Mo	5		Bremen	Flemingstraße	0	0	1	2	1							3	7		1	14				72	21	2021	03	08	du	tr	RF	PKW	SO		8,896034	53,111641
107	09.03.2021	10:32	Di	5		Bremen	Stromer Straße	0	0	1	2	5							3	3		28					21	71	2021	03	09	he	tr	PKW	RF	EK		8,754145	53,088803
108	09.03.2021	10:45	Di	5		Bremen	Benquestraße	0	0	0	2	1			8				5	7		14	49				71	21	2021	03	09	he	na	RF	PKW	SO		8,829759	53,087394
109	09.03.2021	14:00	Di	5		Bremen	Wischhusenstraße	0	0	1	2	5							3	3		28					21	71	2021	03	09	he	na	PKW	RF	EK		8,748829	53,124863
110	10.03.2021	06:07	Mi	5		Bremen	Daniel-Von-Büren-Straße	0	0	1	2	5	2						3	2		34					21	71	2021	03	10	dä	na	PKW	RF	AB		8,799256	53,083836
111	10.03.2021	15:30	Mi	5		Bremen	Lothringer Straße	0	0	1	2	2							3	6		14					71	21	2021	03	10	he	tr	RF	PKW	LV		8,835373	53,080253
112	10.03.2021	20:00	Mi	5		Bremen	Neuenlander Straße	0	0	1	2	5	3						3	2		49					21	72	2021	03	10	du	na	PKW	RF	AB		8,783126	53,066171
113	11.03.2021	06:00	Do	5		Bremen	Am Stern	0	0	1	2	5							3	3		28					40	71	2021	03	11	du	na	LKW	RF	EK		8,825138	53,084212
114	12.03.2021	16:15	Fr	5		Bremen	Kurt-Schumacher-Allee	0	0	1	2	5	2		8	0			3	3		28					21	71	2021	03	12	he	na	PKW	RF	EK		8,880343	53,082403
115	14.03.2021	18:55	So	5		Bremen	Wachmannstraße	0	0	1	2	5	2		8				3	3		28					21	71	2021	03	14	du	na	PKW	RF	EK		8,831049	53,085857
116	15.03.2021	14:55	Mo	5		Bremen	Sonneberger Straße	0	0	1	2	5	2						3	3		28					21	71	2021	03	15	he	na	PKW	RF	EK		8,876555	53,081019
117	15.03.2021	17:12	Mo	5		Bremen	Osterfeuerbergstraße	0	0	1	2	1							3	7		37					71	21	2021	03	15	he	na	RF	PKW	SO		8,790368	53,097473
118	16.03.2021	09:02	Di	5		Bremen	Überseetor	0	0	1	2	5	1						3	3		37					21	71	2021	03	16	he	tr	PKW	RF	EK		8,772100	53,094658
119	16.03.2021	13:43	Di	5		Bremen	Am Brill	0	0	1	2	5						8	3	2		34					61	71	2021	03	16	he	tr	SOF	RF	AB		8,801025	53,078839
120	16.03.2021	14:30	Di	5		Bremen	Wasserkunst	0	0	0	2	5	2						5	3		49					21	72	2021	03	16	he	tr	PKW	RF	EK		8,809782	53,067334
121	16.03.2021	17:30	Di	5		Bremen	Bremerhavener Straße	0	0	0	2	1	2						5	7		14	49				71	21	2021	03	16	he	tr	RF	PKW	SO		8,783467	53,096755
122	17.03.2021	07:56	Mi	5		Bremen	Hamburger Straße	0	0	1	2	0							3	7		45					21	71	2021	03	17	he	tr	PKW	RF	SO		8,846928	53,068358
123	17.03.2021	10:50	Mi	5		Bremen	Aumunder Heerweg	0	0	1	2	5	1					8	3	2		34					44	72	2021	03	17	he	tr	LKW	RF	AB		8,627920	53,171903
124	17.03.2021	17:05	Mi	5		Bremen	Waller Straße	0	0	1	2	3	6						3	6		22					21	71	2021	03	17	he	tr	PKW	RF	LV		8,781359	53,111702
125	17.03.2021	18:15	Mi	5		Bremen	Kattenturmer Heerstraße	0	0	0	2	5	1		8			8	5	2		34					21	71	2021	03	17	du	na	PKW	RF	AB		8,809350	53,031658
126	19.03.2021	13:00	Fr	4		Bremen	Haferwende	0	0	1	2	5	3						3	2		37					40	71	2021	03	19	he	tr	LKW	RF	AB		8,879798	53,110712
127	19.03.2021	19:10	Fr	5		Bremen	Habenhauser Brückenstraße	0	0	1	2	5	1					8	3	2		34					21	71	2021	03	19	du	tr	PKW	RF	AB		8,844863	53,045779
128	19.03.2021	23:15	Fr	5		Bremen	Rembertiring	0	1	0	2	1							2	7		1	49				71	21	2021	03	19	du	tr	RF	PKW	SO		8,818333	53,077438
129	20.03.2021	11:00	Sa	5		Bremen	Kasseler Straße	0	0	1	1	0	1						3	1		49				88	71		2021	03	20	he	tr	RF	-	F		8,818202	53,095510
130	20.03.2021	19:15	Sa	5		Bremen	Heinrich-Plett-Allee	0	0	1	2	5							3	3		37	1				71	21	2021	03	20	du	na	RF	PKW	EK		8,723992	53,043282
131	22.03.2021	09:35	Mo	5		Bremen	Rembertistraße	0	0	0	2	1							5	5		49					71	21	2021	03	22	he	na	RF	PKW	RV		8,818486	53,079983
132	22.03.2021	14:39	Mo	5		Bremen	Lindenstraße	0	1	0	2	5	3						2	3		37					71	21	2021	03	22	he	tr	RF	PKW	EK		8,603799	53,176958
133	22.03.2021	16:00	Mo	5		Bremen	Leher Heerstraße	0	0	0	2	5							5	2		34					21	71	2021	03	22	he	tr	PKW	RF	AB		8,872232	53,099474
134	23.03.2021	15:15	Di	5		Bremen	Am Stern	0	0	1	2	5	7		8				3	2		34					21	71	2021	03	23	he	tr	PKW	RF	AB		8,825146	53,084526
135	23.03.2021	16:00	Di	5		Bremen	Ihlestraße	0	1	0	1	8							2	1		49					71		2021	03	23	he	tr	RF	-	F		8,716540	53,181799
136	23.03.2021	17:55	Di	5		Bremen	Kloßkampsweg	0	0	1	2	3							3	2		35					71	71	2021	03	23	he	tr	RF	RF	AB		8,730767	53,048885
137	24.03.2021	09:55	Mi	5		Bremen	Kirchheide	0	0	1	2	5	1		8			8	3	2		35					21	71	2021	03	24	he	tr	PKW	RF	AB		8,618632	53,174307
138	24.03.2021	10:20	Mi	5		Bremen	Steinsetzerstraße	0	1	0	2	0	2						2	7		49					71	21	2021	03	24	he	tr	RF	PKW	SO		8,849831	53,048637
139	24.03.2021	11:14	Mi	5		Bremen	Stresemannstraße	0	0	0	2	5	3						5	3		49		37			71	21	2021	03	24	he	tr	RF	PKW	EK		8,864293	53,071371
140	24.03.2021	12:15	Mi	5		Bremen	Marcuskaje	0	0	1	2	5	2		8				3	3		28					21	71	2021	03	24	he	tr	PKW	RF	EK		8,769782	53,094987
141	24.03.2021	14:05	Mi	5		Bremen	Lilienthaler Heerstraße	0	0	1	2	2	1		0	9		8	3	7		13	49				72	71	2021	03	24	he	tr	RF	RF	SO		8,887982	53,109187
142	24.03.2021	15:45	Mi	5		Bremen	Martinistraße	0	0	1	2	4							3	2		35					21	71	2021	03	24	he	tr	PKW	RF	AB		8,804434	53,075505
143	24.03.2021	16:00	Mi	5		Bremen	Kurfürstenallee	0	0	0	2	4							5	1		11	9				71	71	2021	03	24	he	tr	RF	RF	F		8,837267	53,082346
144	25.03.2021	07:45	Do	5		Bremen	Hamburger Straße	0	0	0	2	5	1					8	5	3		35					21	71	2021	03	25	he	tr	PKW	RF	EK		8,848905	53,067960
145	25.03.2021	10:06	Do	5		Bremen	Schwachhauser Heerstraße	0	0	0	2	5	3						5	3		14					71	21	2021	03	25	he	tr	RF	PKW	EK		8,834338	53,081977
146	25.03.2021	16:30	Do	5		Bremen	Vegesacker Straße	0	0	1	3	3							3	6		49					21	71	2021	03	25	he	tr	PKW	RF	LV		8,784446	53,097765
147	25.03.2021	16:40	Do	5		Bremen	Osterdeich	0	0	1	2	1							3	7		49					21	71	2021	03	25	he	tr	PKW	RF	SO		8,828641	53,068735
148	26.03.2021	07:30	Fr	5		Bremen	Hastedter Heerstraße	0	0	1	1	0			6				3	1		49				76	71		2021	03	26	he	tr	RF	-	F		8,881925	53,063914
149	26.03.2021	10:05	Fr	5		Bremen	Timmersloher Straße	0	0	0	2	0							5	7		49					71	21	2021	03	26	he	tr	RF	PKW	SO		8,809559	53,091105
150	26.03.2021	11:20	Fr	5		Bremen	Langemarckstraße	0	0	0	2	1							5	5		49					71	21	2021	03	26	he	tr	RF	PKW	RV		8,790156	53,071770
151	26.03.2021	12:55	Fr	5		Bremen	Stader Straße	0	0	1	2	1							3	5		45					21	71	2021	03	26	he	tr	PKW	RF	RV		8,849127	53,068429
152	26.03.2021	13:00	Fr	5		Bremen	Am Wall	0	0	1	2	4	1		8			8	3	2		34					21	71	2021	03	26	he	tr	PKW	RF	AB		8,809404	53,079177
153	26.03.2021	15:05	Fr	5		Bremen	Am Rüten	0	0	1	2	1							3	5		45					21	71	2021	03	26	he	tr	PKW	RF	RV		8,899531	53,105220
154	26.03.2021	16:10	Fr	5		Bremen	Habenhauser Brückenstraße	0	0	1	2	5	2					8	3	3		34					21	71	2021	03	26	he	tr	PKW	RF	EK		8,846322	53,047522
155	27.03.2021	09:35	Sa	5		Bremen	Graf-Sponeck-Straße	0	0	0	2	1	2						5	7		49					71	21	2021	03	27	he	tr	RF	PKW	SO		8,898775	53,077780
